Company Name,Symbol, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
Blue Dart Express Limited,BLUEDART,EQ,12-DEC-2002,10,1,INE233B01017,10
Blue Jet Healthcare Limited,BLUEJET,EQ,01-NOV-2023,2,1,INE0KBH01020,2
Blue Star Limited,BLUESTARCO,EQ,15-JUN-2000,2,1,INE472A01039,2
Bluspring Enterprises Limited,BLUSPRING,BE,11-JUN-2025,10,1,INE0U4101014,10
Bodal Chemicals Limited,BODALCHEM,EQ,22-AUG-2011,2,1,INE338D01028,2
Bohra Industries Limited,BOHRAIND,BE,27-OCT-2022,10,1,INE802W01023,10
Bombay Dyeing & Mfg Company Limited,BOMDYEING,EQ,26-APR-1995,2,1,INE032A01023,2
Borana Weaves Limited,BORANA,EQ,27-MAY-2025,10,1,INE16SF01016,10
Borosil Limited,BOROLTD,EQ,22-JUL-2020,1,1,INE02PY01013,1
BOROSIL RENEWABLES LIMITED,BORORENEW,EQ,25-MAY-2018,1,1,INE666D01022,1
Borosil Scientific Limited,BOROSCI,EQ,07-JUN-2024,1,1,INE02L001032,1
Bosch Limited,BOSCHLTD,EQ,12-MAY-2003,10,1,INE323A01026,10
Bharat Petroleum Corporation Limited,BPCL,EQ,13-SEP-1995,10,1,INE029A01011,10
BPL Limited,BPL,EQ,14-JUN-1995,10,1,INE110A01019,10
Brigade Enterprises Limited,BRIGADE,EQ,31-DEC-2007,10,1,INE791I01019,10
Britannia Industries Limited,BRITANNIA,EQ,05-NOV-1998,1,1,INE216A01030,1
Bharat Road Network Limited,BRNL,BE,18-SEP-2017,10,1,INE727S01012,10
Brooks Laboratories Limited,BROOKS,BE,05-SEP-2011,10,1,INE650L01011,10
BSE Limited,BSE,EQ,03-FEB-2017,2,1,INE118H01025,2
Bombay Super Hybrid Seeds Limited,BSHSL,EQ,28-OCT-2020,1,1,INE032Z01020,1
BSL Limited,BSL,BE,27-JUL-1995,10,1,INE594B01012,10
BIRLASOFT LIMITED,BSOFT,EQ,24-NOV-1999,2,1,INE836A01035,2
Bodhi Tree Multimedia Limited,BTML,EQ,15-FEB-2023,1,1,INE0EEJ01023,1
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,EQ,28-APR-2014,10,1,INE295F01017,10
Barak Valley Cements Limited,BVCL,EQ,23-NOV-2007,10,1,INE139I01011,10
The Byke Hospitality Ltd,BYKE,BE,15-APR-2015,10,1,INE319B01014,10
California Software Company Limited,CALSOFT,EQ,28-JUN-2000,10,1,INE526B01014,10
Camlin Fine Sciences Limited,CAMLINFINE,BE,20-JAN-2015,1,1,INE052I01032,1
Campus Activewear Limited,CAMPUS,EQ,09-MAY-2022,5,1,INE278Y01022,5
Computer Age Management Services Limited,CAMS,EQ,07-MAY-2021,10,1,INE596I01012,10
Canara Bank,CANBK,EQ,23-DEC-2002,2,1,INE476A01022,2
Can Fin Homes Limited,CANFINHOME,EQ,10-MAY-1995,2,1,INE477A01020,2
Cantabil Retail India Limited,CANTABIL,EQ,12-OCT-2010,2,1,INE068L01024,2
Capacit'e Infraprojects Limited,CAPACITE,EQ,25-SEP-2017,10,1,INE264T01014,10
Capital Small Finance Bank Limited,CAPITALSFB,EQ,14-FEB-2024,10,1,INE646H01017,10
Caplin Point Laboratories Limited,CAPLIPOINT,EQ,23-JUN-2014,2,1,INE475E01026,2
Capital Trust Limited,CAPTRUST,BE,16-JAN-2017,10,1,INE707C01018,10
Carborundum Universal Limited,CARBORUNIV,EQ,03-APR-1996,1,1,INE120A01034,1
CARE Ratings Limited,CARERATING,EQ,26-DEC-2012,10,1,INE752H01013,10
Carraro India Limited,CARRARO,EQ,30-DEC-2024,10,1,INE0V7W01012,10
Cartrade Tech Limited,CARTRADE,EQ,20-AUG-2021,10,1,INE290S01011,10
CARYSIL LIMITED,CARYSIL,EQ,14-JAN-2021,2,1,INE482D01024,2
Castrol India Limited,CASTROLIND,EQ,14-MAR-2014,5,1,INE172A01027,5
Consolidated Construction Consortium Limited,CCCL,EQ,15-OCT-2007,2,1,INE429I01024,2
Country Club Hospitality & Holidays Limited,CCHHL,EQ,03-FEB-2015,2,1,INE652F01027,2
CCL Products (India) Limited,CCL,EQ,07-JUN-2004,2,1,INE421D01022,2
Central Depository Services (India) Limited,CDSL,EQ,30-JUN-2017,10,1,INE736A01011,10
CEAT Limited,CEATLTD,EQ,01-FEB-2008,10,1,INE482A01020,10
Ceigall India Limited,CEIGALL,EQ,08-AUG-2024,5,1,INE0AG901020,5
Celebrity Fashions Limited,CELEBRITY,EQ,12-JAN-2006,10,1,INE185H01016,10
Cello World Limited,CELLO,EQ,06-NOV-2023,5,1,INE0LMW01024,5
Century Enka Limited,CENTENKA,EQ,10-MAY-1995,10,1,INE485A01015,10
Century Extrusions Limited,CENTEXT,EQ,20-JUL-2004,1,1,INE281A01026,1
Central Bank of India,CENTRALBK,EQ,21-AUG-2007,10,1,INE483A01010,10
Centrum Capital Limited,CENTRUM,BE,04-APR-2018,1,1,INE660C01027,1
Centum Electronics Limited,CENTUM,EQ,05-OCT-2007,10,1,INE320B01020,10
Century Plyboards (India) Limited,CENTURYPLY,EQ,23-MAR-2006,1,1,INE348B01021,1
Cera Sanitaryware Limited,CERA,EQ,02-NOV-2007,5,1,INE739E01017,5
Cerebra Integrated Technologies Limited,CEREBRAINT,BZ,26-JUN-2013,10,1,INE345B01019,10
CESC Limited,CESC,EQ,08-FEB-1995,1,1,INE486A01021,1
Concord Enviro Systems Limited,CEWATER,EQ,27-DEC-2024,5,1,INE037Z01029,5
Capri Global Capital Limited,CGCL,EQ,29-OCT-2010,1,1,INE180C01042,1
CG Power and Industrial Solutions Limited,CGPOWER,EQ,01-MAR-1995,2,1,INE067A01029,2
Chalet Hotels Limited,CHALET,EQ,07-FEB-2019,10,1,INE427F01016,10
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,EQ,14-JUN-1995,10,1,INE085A01013,10
Chembond Material Technologies Limited,CHEMBOND,BE,20-NOV-2019,5,1,INE995D01025,5
Chemcon Speciality Chemicals Limited,CHEMCON,EQ,01-OCT-2020,10,1,INE03YM01018,10
Chemfab Alkalis Limited,CHEMFAB,EQ,25-APR-2018,10,1,INE783X01023,10
Chemplast Sanmar Limited,CHEMPLASTS,EQ,24-AUG-2021,5,1,INE488A01050,5
Chennai Petroleum Corporation Limited,CHENNPETRO,EQ,07-JUN-2000,10,1,INE178A01016,10
Cheviot Company Limited,CHEVIOT,EQ,20-JUN-2022,10,1,INE974B01016,10
Choice International Limited,CHOICEIN,EQ,08-APR-2022,10,1,INE102B01014,10
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,EQ,15-MAY-1996,2,1,INE121A01024,2
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,EQ,25-SEP-2017,1,1,INE149A01033,1
CIE Automotive India Limited,CIEINDIA,EQ,30-AUG-2007,10,1,INE536H01010,10
Capital India Finance Limited,CIFL,EQ,17-APR-2025,2,1,INE345H01024,2
Cigniti Technologies Limited,CIGNITITEC,EQ,13-OCT-2014,10,1,INE675C01017,10
Cineline India Limited,CINELINE,EQ,13-JUN-2012,5,1,INE704H01022,5
Cinevista Limited,CINEVISTA,EQ,02-MAY-2000,2,1,INE039B01026,2
Cipla Limited,CIPLA,EQ,08-FEB-1995,2,1,INE059A01026,2
Clean Science and Technology Limited,CLEAN,EQ,19-JUL-2021,1,1,INE227W01023,1
CL Educate Limited,CLEDUCATE,EQ,31-MAR-2017,5,1,INE201M01029,5
Chaman Lal Setia Exports Limited,CLSEL,EQ,12-MAY-2021,2,1,INE419D01026,2
CMS Info Systems Limited,CMSINFO,EQ,31-DEC-2021,10,1,INE925R01014,10
Coal India Limited,COALINDIA,EQ,04-NOV-2010,10,1,INE522F01014,10
Coastal Corporation Limited,COASTCORP,EQ,08-OCT-2021,2,1,INE377E01024,2
Cochin Shipyard Limited,COCHINSHIP,EQ,11-AUG-2017,5,1,INE704P01025,5
Coffee Day Enterprises Limited,COFFEEDAY,EQ,02-NOV-2015,10,1,INE335K01011,10
Coforge Limited,COFORGE,EQ,30-AUG-2004,2,1,INE591G01025,2
Cohance Lifesciences Limited,COHANCE,EQ,09-MAR-2020,1,1,INE03QK01018,1
Colgate Palmolive (India) Limited,COLPAL,EQ,17-DEC-2007,1,1,INE259A01022,1
Compuage Infocom Limited,COMPINFO,BZ,07-JUL-2016,2,1,INE070C01037,2
Compucom Software Limited,COMPUSOFT,EQ,02-MAR-2012,2,1,INE453B01029,2
Commercial Syn Bags Limited,COMSYN,EQ,23-JAN-2024,10,1,INE073V01015,10
Container Corporation of India Limited,CONCOR,EQ,07-MAY-1997,5,1,INE111A01025,5
Concord Biotech Limited,CONCORDBIO,EQ,18-AUG-2023,1,1,INE338H01029,1
Confidence Petroleum India Limited,CONFIPET,EQ,13-JUN-2019,1,1,INE552D01024,1
Consolidated Finvest & Holdings Limited,CONSOFINVT,EQ,29-MAR-2005,10,1,INE025A01027,10
Control Print Limited,CONTROLPR,EQ,24-JUN-2016,10,1,INE663B01015,10
Coral India Finance & Housing Limited,CORALFINAC,EQ,25-MAR-1996,2,1,INE558D01021,2
Cords Cable Industries Limited,CORDSCABLE,EQ,13-FEB-2008,10,1,INE792I01017,10
Coromandel International Limited,COROMANDEL,EQ,31-MAY-1995,1,1,INE169A01031,1
COSMO FIRST LIMITED,COSMOFIRST,EQ,25-MAY-1995,10,1,INE757A01017,10
Country Condo's Limited,COUNCODOS,BE,22-JAN-2009,1,1,INE695B01025,1
CP Capital Limited,CPCAP,EQ,06-OCT-2010,10,1,INE521J01018,10
Craftsman Automation Limited,CRAFTSMAN,EQ,25-MAR-2021,5,1,INE00LO01017,5
Creative Newtech Limited,CREATIVE,EQ,05-AUG-2019,10,1,INE985W01018,10
Creative Eye Limited,CREATIVEYE,BE,20-DEC-2000,5,1,INE230B01021,5
CREDITACCESS GRAMEEN LIMITED,CREDITACC,EQ,23-AUG-2018,10,1,INE741K01010,10
Crest Ventures Limited,CREST,EQ,27-DEC-2006,10,1,INE559D01011,10
CRISIL Limited,CRISIL,EQ,28-JUN-1995,1,1,INE007A01025,1
Crompton Greaves Consumer Electricals Limited,CROMPTON,EQ,13-MAY-2016,2,1,INE299U01018,2
Crown Lifters Limited,CROWN,EQ,08-FEB-2022,10,1,INE491V01019,10
CSB Bank Limited,CSBBANK,EQ,04-DEC-2019,10,1,INE679A01013,10
CSL Finance Limited,CSLFINANCE,EQ,21-JUL-2022,10,1,INE718F01018,10
Cambridge Technology Enterprises Limited,CTE,BE,07-FEB-2007,10,1,INE627H01017,10
City Union Bank Limited,CUB,EQ,25-AUG-1998,1,1,INE491A01021,1
Cubex Tubings Limited,CUBEXTUB,EQ,24-APR-1996,10,1,INE144D01012,10
Cummins India Limited,CUMMINSIND,EQ,29-MAR-1995,2,1,INE298A01020,2
Cupid Limited,CUPID,EQ,16-SEP-2016,1,1,INE509F01029,1
Cura Technologies Limited,CURAA,BE,21-MAR-2025,10,1,INE117B01020,10
Cyber Media (India) Limited,CYBERMEDIA,EQ,10-JUN-2005,10,1,INE278G01037,10
Cybertech Systems And Software Limited,CYBERTECH,BE,27-JAN-1999,10,1,INE214A01019,10
Cyient Limited,CYIENT,EQ,30-SEP-1998,5,1,INE136B01020,5
Cyient DLM Limited,CYIENTDLM,EQ,10-JUL-2023,10,1,INE055S01018,10
Dabur India Limited,DABUR,EQ,28-APR-1999,1,1,INE016A01026,1
Dalmia Bharat Limited,DALBHARAT,EQ,22-JAN-2019,2,1,INE00R701025,2
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,EQ,17-JAN-1996,2,1,INE495A01022,2
Dam Capital Advisors Limited,DAMCAPITAL,EQ,27-DEC-2024,2,1,INE284H01025,2
Damodar Industries Limited,DAMODARIND,EQ,04-JUL-2016,5,1,INE497D01022,5
Dangee Dums Limited,DANGEE,BE,13-NOV-2020,1,1,INE688Y01022,1
Datamatics Global Services Limited,DATAMATICS,EQ,07-MAY-2004,5,1,INE365B01017,5
Data Patterns (India) Limited,DATAPATTNS,EQ,24-DEC-2021,2,1,INE0IX101010,2
Davangere Sugar Company Limited,DAVANGERE,EQ,25-JAN-2024,1,1,INE179G01029,1
D.B.Corp Limited,DBCORP,EQ,06-JAN-2010,10,1,INE950I01011,10
Deepak Builders & Engineers India Limited,DBEIL,EQ,28-OCT-2024,10,1,INE0OPA01019,10
Dilip Buildcon Limited,DBL,EQ,11-AUG-2016,10,1,INE917M01012,10
Dhampur Bio Organics Limited,DBOL,BE,08-SEP-2022,10,1,INE0I3401014,10
Valor Estate Limited,DBREALTY,EQ,24-FEB-2010,10,1,INE879I01012,10
DB (International) Stock Brokers Limited,DBSTOCKBRO,EQ,29-FEB-2012,2,1,INE921B01025,2
Dishman Carbogen Amcis Limited,DCAL,BE,21-SEP-2017,2,1,INE385W01011,2
DCB Bank Limited,DCBBANK,EQ,27-OCT-2006,10,1,INE503A01015,10
Dc Infotech And Communication Limited,DCI,EQ,19-OCT-2022,10,1,INE0A1101019,10
DCM  Limited,DCM,EQ,29-MAR-1995,10,1,INE498A01018,10
DCM Financial Services Limited,DCMFINSERV,BE,21-MAY-1997,10,1,INE891B01012,10
DCM Nouvelle Limited,DCMNVL,EQ,16-JUL-2019,10,1,INE08KP01019,10
DCM Shriram Limited,DCMSHRIRAM,EQ,12-APR-1995,2,1,INE499A01024,2
DCM Shriram Industries Limited,DCMSRIND,EQ,24-DEC-2021,2,1,INE843D01027,2
DCW Limited,DCW,EQ,25-MAY-1995,2,1,INE500A01029,2
DCX Systems Limited,DCXINDIA,EQ,11-NOV-2022,2,1,INE0KL801015,2
Ddev Plastiks Industries Limited,DDEVPLSTIK,EQ,15-JAN-2025,1,1,INE0HR601026,1
Deccan Cements Limited,DECCANCE,EQ,02-AUG-2007,5,1,INE583C01021,5
DEE Development Engineers Limited,DEEDEV,EQ,26-JUN-2024,10,1,INE841L01016,10
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,EQ,17-JAN-2003,10,1,INE501A01019,10
Deepak Nitrite Limited,DEEPAKNTR,EQ,29-SEP-2010,2,1,INE288B01029,2
Deep Industries Limited,DEEPINDS,EQ,27-APR-2021,5,1,INE0FHS01024,5
Delhivery Limited,DELHIVERY,EQ,24-MAY-2022,1,1,INE148O01028,1
DELPHI WORLD MONEY LIMITED,DELPHIFX,EQ,28-JUN-2011,10,1,INE726L01019,10
Delta Corp Limited,DELTACORP,EQ,02-NOV-2007,1,1,INE124G01033,1
Delta Manufacturing Limited,DELTAMAGNT,BE,18-OCT-1995,10,1,INE393A01011,10
Den Networks Limited,DEN,EQ,24-NOV-2009,10,1,INE947J01015,10
De Nora India Limited,DENORA,EQ,07-AUG-1997,10,1,INE244A01016,10
Denta Water and Infra Solutions Limited,DENTA,EQ,29-JAN-2025,10,1,INE0R4L01018,10
Dev Information Technology Limited,DEVIT,EQ,15-FEB-2022,5,1,INE060X01026,5
Devyani International Limited,DEVYANI,EQ,16-AUG-2021,1,1,INE872J01023,1
Digicontent Limited,DGCONTENT,EQ,18-JUN-2019,2,1,INE03JI01017,2
Dhampur Sugar Mills Limited,DHAMPURSUG,EQ,29-MAR-1995,10,1,INE041A01016,10
Dhanlaxmi Bank Limited,DHANBANK,EQ,01-APR-2004,10,1,INE680A01011,10
Dhani Services Limited,DHANI,EQ,02-APR-2008,2,1,INE274G01010,2
Dhanuka Agritech Limited,DHANUKA,EQ,29-JUN-2011,2,1,INE435G01025,2
Dharmaj Crop Guard Limited,DHARMAJ,BE,08-DEC-2022,10,1,INE00OQ01016,10
Dhruv Consultancy Services Limited,DHRUV,BE,25-NOV-2021,10,1,INE506Z01015,10
Dhunseri Investments Limited,DHUNINV,EQ,18-MAR-2011,10,1,INE320L01011,10
Diamond Power Infrastructure Limited,DIACABS,EQ,15-SEP-2023,1,1,INE989C01038,1
Diamines & Chemicals Limited,DIAMINESQ,EQ,25-SEP-2023,10,1,INE591D01014,10
Prataap Snacks Limited,DIAMONDYD,EQ,05-OCT-2017,5,1,INE393P01035,5
DIC India Limited,DICIND,EQ,30-AUG-1995,10,1,INE303A01010,10
Diffusion Engineers Limited,DIFFNKG,EQ,04-OCT-2024,10,1,INE184O01015,10
Digidrive Distributors Limited,DIGIDRIVE,EQ,10-JAN-2024,10,1,INE0PSC01024,10
DiGiSPICE Technologies Limited,DIGISPICE,EQ,27-MAY-2008,3,1,INE927C01020,3
Digitide Solutions Limited,DIGITIDE,BE,11-JUN-2025,10,1,INE0U4701011,10
Digjam Limited,DIGJAMLMTD,BE,18-OCT-2021,10,1,INE731U01028,10
Debock Industries Limited,DIL,BE,31-MAR-2022,10,1,INE411Y01011,10
Dish TV India Limited,DISHTV,BE,18-APR-2007,1,1,INE836F01026,1
Divgi Torqtransfer Systems Limited,DIVGIITTS,EQ,14-MAR-2023,5,1,INE753U01022,5
Divi's Laboratories Limited,DIVISLAB,EQ,12-MAR-2003,2,1,INE361B01024,2
Dixon Technologies (India) Limited,DIXON,EQ,18-SEP-2017,2,1,INE935N01020,2
DJ Mediaprint & Logistics Limited,DJML,EQ,05-DEC-2022,10,1,INE0B1K01014,10
DLF Limited,DLF,EQ,05-JUL-2007,2,1,INE271C01023,2
D-Link (India) Limited,DLINKINDIA,EQ,18-DEC-2009,2,1,INE250K01012,2
Avenue Supermarts Limited,DMART,EQ,21-MAR-2017,10,1,INE192R01011,10
DMCC SPECIALITY CHEMICALS LIMITED,DMCC,EQ,01-DEC-2021,10,1,INE505A01010,10
Diligent Media Corporation Limited,DNAMEDIA,EQ,11-DEC-2017,1,1,INE016M01021,1
Dodla Dairy Limited,DODLA,EQ,28-JUN-2021,10,1,INE021O01019,10
Dolat Algotech Limited,DOLATALGO,EQ,12-JAN-2024,1,1,INE966A01022,1
Dollar Industries Limited,DOLLAR,EQ,21-APR-2017,2,1,INE325C01035,2
Dolphin Offshore Enterprises (India) Limited,DOLPHIN,EQ,21-AUG-2023,1,1,INE920A01037,1
DOMS Industries Limited,DOMS,EQ,20-DEC-2023,10,1,INE321T01012,10
Donear Industries Limited,DONEAR,EQ,20-DEC-2006,2,1,INE668D01028,2
D. P. Abhushan Limited,DPABHUSHAN,EQ,03-NOV-2020,10,1,INE266Y01019,10
DPSC Limited,DPSCLTD,EQ,21-APR-2008,1,1,INE360C01024,1
D P Wires Limited,DPWIRES,EQ,17-JAN-2020,10,1,INE864X01013,10
DRC Systems India Limited,DRCSYSTEMS,BE,10-MAR-2021,1,1,INE03RS01027,1
Dreamfolks Services Limited,DREAMFOLKS,EQ,06-SEP-2022,2,1,INE0JS101016,2
Dredging Corporation of India Limited,DREDGECORP,EQ,15-JAN-2004,10,1,INE506A01018,10
Dr. Reddy's Laboratories Limited,DRREDDY,EQ,30-MAY-2003,1,1,INE089A01031,1
Dynacons Systems & Solutions Limited,DSSL,EQ,01-DEC-2011,10,1,INE417B01040,10
Dhunseri Tea & Industries Limited,DTIL,EQ,20-JAN-2015,10,1,INE341R01014,10
Ducon Infratechnologies Limited,DUCON,EQ,09-OCT-2012,1,1,INE741L01018,1
Dhunseri Ventures Limited,DVL,EQ,11-JAN-2008,10,1,INE477B01010,10
Dwarikesh Sugar Industries Limited,DWARKESH,EQ,31-DEC-2004,1,1,INE366A01041,1
Dynamic Cables Limited,DYCL,EQ,27-JUL-2022,10,1,INE600Y01019,10
Dynamatic Technologies Limited,DYNAMATECH,EQ,14-SEP-2006,10,1,INE221B01012,10
Dynemic Products Limited,DYNPRO,EQ,19-JUL-2017,10,1,INE256H01015,10
E2E Networks Limited,E2E,EQ,12-APR-2022,10,1,INE255Z01019,10
Easy Trip Planners Limited,EASEMYTRIP,EQ,19-MAR-2021,1,1,INE07O001026,1
eClerx Services Limited,ECLERX,EQ,31-DEC-2007,10,1,INE738I01010,10
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,EQ,04-SEP-2024,2,1,INE06HJ01020,2
Edelweiss Financial Services Limited,EDELWEISS,EQ,12-DEC-2007,1,1,INE532F01054,1
Eicher Motors Limited,EICHERMOT,EQ,07-SEP-2004,1,1,INE066A01021,1
EID Parry India Limited,EIDPARRY,EQ,10-MAY-1995,1,1,INE126A01031,1
Enviro Infra Engineers Limited,EIEL,EQ,29-NOV-2024,10,1,INE0LLY01014,10
Euro India Fresh Foods Limited,EIFFL,EQ,12-OCT-2021,10,1,INE546V01010,10
EIH Associated Hotels Limited,EIHAHOTELS,EQ,08-APR-2008,10,1,INE276C01014,10
EIH Limited,EIHOTEL,EQ,08-FEB-1995,2,1,INE230A01023,2
Eimco Elecon (India) Limited,EIMCOELECO,EQ,17-APR-1996,10,1,INE158B01016,10
Everest Kanto Cylinder Limited,EKC,EQ,15-DEC-2005,2,1,INE184H01027,2
Eldeco Housing And Industries Limited,ELDEHSG,EQ,12-APR-2022,2,1,INE668G01021,2
Elecon Engineering Company Limited,ELECON,EQ,29-SEP-2006,1,1,INE205B01031,1
Electrosteel Castings Limited,ELECTCAST,EQ,20-JUN-2003,1,1,INE086A01029,1
Electrotherm (India) Limited,ELECTHERM,EQ,20-AUG-2007,10,1,INE822G01016,10
Elgi Equipments Limited,ELGIEQUIP,EQ,22-NOV-1995,1,1,INE285A01027,1
Elgi Rubber Company Limited,ELGIRUBCO,BE,10-AUG-2011,1,1,INE819L01012,1
Elin Electronics Limited,ELIN,BE,30-DEC-2022,5,1,INE050401020,5
Emami Limited,EMAMILTD,EQ,03-AUG-2006,1,1,INE548C01032,1
Emami Paper Mills Limited,EMAMIPAP,EQ,30-MAY-2019,2,1,INE830C01026,2
Emami Realty Limited,EMAMIREAL,BE,28-JUL-2010,2,1,INE778K01012,2
Embassy Developments Limited,EMBDL,EQ,23-MAR-2007,2,1,INE069I01010,2
Emcure Pharmaceuticals Limited,EMCURE,EQ,10-JUL-2024,10,1,INE168P01015,10
Electronics Mart India Limited,EMIL,EQ,17-OCT-2022,10,1,INE02YR01019,10
Emkay Global Financial Services Limited,EMKAY,BE,28-APR-2006,10,1,INE296H01011,10
Emmbi Industries Limited,EMMBI,EQ,24-FEB-2010,10,1,INE753K01015,10
EMS Limited,EMSLIMITED,EQ,21-SEP-2023,10,1,INE0OV601013,10
eMudhra Limited,EMUDHRA,EQ,01-JUN-2022,5,1,INE01QM01018,5
Endurance Technologies Limited,ENDURANCE,EQ,19-OCT-2016,10,1,INE913H01037,10
Energy Development Company Limited,ENERGYDEV,BE,02-NOV-2007,10,1,INE306C01019,10
Engineers India Limited,ENGINERSIN,EQ,20-AUG-1997,5,1,INE510A01028,5
Entertainment Network (India) Limited,ENIL,EQ,15-FEB-2006,10,1,INE265F01028,10
Siemens Energy India Limited,ENRIN,BE,19-JUN-2025,2,1,INE1NPP01017,2
Entero Healthcare Solutions Limited,ENTERO,EQ,16-FEB-2024,10,1,INE010601016,10
EPACK Durable Limited,EPACK,EQ,30-JAN-2024,10,1,INE0G5901015,10
Epigral Limited,EPIGRAL,EQ,18-AUG-2021,10,1,INE071N01016,10
EPL Limited,EPL,EQ,11-FEB-2002,2,1,INE255A01020,2
Equippp Social Impact Technologies Limited,EQUIPPP,BE,19-MAY-2021,1,1,INE217G01035,1
Equitas Small Finance Bank Limited,EQUITASBNK,EQ,02-NOV-2020,10,1,INE063P01018,10
Eris Lifesciences Limited,ERIS,EQ,29-JUN-2017,1,1,INE406M01024,1
Esab India Limited,ESABINDIA,EQ,01-NOV-1995,10,1,INE284A01012,10
ESAF Small Finance Bank Limited,ESAFSFB,EQ,10-NOV-2023,10,1,INE818W01011,10
Escorts Kubota Limited,ESCORTS,EQ,01-MAR-1995,10,1,INE042A01014,10
Essar Shipping Limited,ESSARSHPNG,BE,15-NOV-2011,10,1,INE122M01019,10
Integra Essentia Limited,ESSENTIA,EQ,20-AUG-2013,1,1,INE418N01035,1
Ester Industries Limited,ESTER,EQ,20-JUN-2011,5,1,INE778B01029,5
ETERNAL LIMITED,ETERNAL,EQ,23-JUL-2021,1,1,INE758T01015,1
Ethos Limited-RE,ETHOS-RE,BE,20-JUN-2025,10,1,INE04TZ20018,10
Ethos Limited,ETHOSLTD,EQ,30-MAY-2022,10,1,INE04TZ01018,10
Eureka Forbes Limited,EUREKAFORB,EQ,11-SEP-2024,10,1,INE0KCE01017,10
Eurotex Industries and Exports Limited,EUROTEXIND,EQ,31-JAN-1996,10,1,INE022C01012,10
Eveready Industries India Limited,EVEREADY,EQ,27-APR-2005,5,1,INE128A01029,5
Everest Industries Limited,EVERESTIND,BE,29-MAR-1995,10,1,INE295A01018,10
Excel Realty N Infra Limited,EXCEL,EQ,03-AUG-2009,1,1,INE688J01023,1
Excel Industries Limited,EXCELINDUS,EQ,16-JUN-2004,5,1,INE369A01029,5
Exicom Tele-Systems Limited,EXICOM,EQ,05-MAR-2024,10,1,INE777F01014,10
Exide Industries Limited,EXIDEIND,EQ,17-JUN-2003,1,1,INE302A01020,1
Expleo Solutions Limited,EXPLEOSOL,EQ,26-OCT-2009,10,1,INE201K01015,10
Exxaro Tiles Limited,EXXARO,BE,16-AUG-2021,1,1,INE0GFE01026,1
Fertilizers and Chemicals Travancore Limited,FACT,EQ,12-APR-1995,10,1,INE188A01015,10
Fairchem Organics Limited,FAIRCHEMOR,EQ,24-DEC-2020,10,1,INE0DNW01011,10
Faze Three Limited,FAZE3Q,EQ,18-NOV-2022,10,1,INE963C01033,10
Fineotex Chemical Limited,FCL,EQ,15-JAN-2015,2,1,INE045J01026,2
FCS Software Solutions Limited,FCSSOFT,EQ,21-SEP-2005,1,1,INE512B01022,1
FDC Limited,FDC,EQ,07-AUG-1997,1,1,INE258B01022,1
The Federal Bank  Limited,FEDERALBNK,EQ,08-FEB-1995,2,1,INE171A01029,2
Fedbank Financial Services Limited,FEDFINA,EQ,30-NOV-2023,10,1,INE007N01010,10
Future Enterprises Limited,FEL,BZ,05-NOV-2001,2,1,INE623B01027,2
Future Enterprises Limited,FELDVR,BZ,13-FEB-2009,2,1,IN9623B01058,2
Fiberweb (India) Limited,FIBERWEB,EQ,16-FEB-2022,10,1,INE296C01020,10
Fiem Industries Limited,FIEMIND,EQ,19-OCT-2006,10,1,INE737H01014,10
Filatex India Limited,FILATEX,EQ,29-AUG-2011,1,1,INE816B01035,1
Filatex Fashions Limited,FILATFASH,BE,06-MAY-2024,1,1,INE185E01021,1
Finolex Cables Limited,FINCABLES,EQ,15-FEB-1995,2,1,INE235A01022,2
Fine Organic Industries Limited,FINEORG,EQ,02-JUL-2018,5,1,INE686Y01026,5
Fino Payments Bank Limited,FINOPB,EQ,12-NOV-2021,10,1,INE02NC01014,10
Finolex Industries Limited,FINPIPE,EQ,08-FEB-1995,2,1,INE183A01024,2
Brainbees Solutions Limited,FIRSTCRY,EQ,13-AUG-2024,2,1,INE02RE01045,2
Five-Star Business Finance Limited,FIVESTAR,EQ,21-NOV-2022,1,1,INE128S01021,1
Flair Writing Industries Limited,FLAIR,EQ,01-DEC-2023,5,1,INE00Y201027,5
Flexituff Ventures International Limited,FLEXITUFF,BE,19-OCT-2011,10,1,INE060J01017,10
Future Lifestyle Fashions Limited,FLFL,BZ,01-OCT-2013,2,1,INE452O01016,2
Gujarat Fluorochemicals Limited,FLUOROCHEM,EQ,16-OCT-2019,1,1,INE09N301011,1
Federal-Mogul Goetze (India) Limited.,FMGOETZE,EQ,08-FEB-1995,10,1,INE529A01010,10
Future Market Networks Limited,FMNL,BE,31-DEC-2010,10,1,INE360L01017,10
Focus Lighting and Fixtures Limited,FOCUS,BE,24-NOV-2021,2,1,INE593W01028,2
Foods & Inns Limited,FOODSIN,EQ,16-NOV-2021,1,1,INE976E01023,1
FORCE MOTORS LTD,FORCEMOT,EQ,14-FEB-2024,10,1,INE451A01017,10
